
1675317118579 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317119352 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317170146 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317170611 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317199613 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317199982 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317199984 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317200357 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317302718 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317303162 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1675317445246 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675317446245 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -7.4, 'chp': -0.04, 'lp': 17608.9, 'spread': 0.0, 'ask': 17608.9, 'bid': 17608.9, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675317420, 'o': 17610.1, 'h': 17610.65, 'l': 17606.5, 'c': 17608.9, 'v': 0, 'tf': '11:27'}}}]}
1675327382225 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675327382826 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -60.95, 'chp': -0.35, 'lp': 17555.35, 'spread': 0.0, 'ask': 17555.35, 'bid': 17555.35, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675327380, 'o': 17555.0, 'h': 17555.35, 'l': 17554.0, 'c': 17555.35, 'v': 0, 'tf': '14:13'}}}]}

1675327410787 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675327411356 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -67.35, 'chp': -0.38, 'lp': 17548.95, 'spread': 0.0, 'ask': 17548.95, 'bid': 17548.95, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675327380, 'o': 17555.0, 'h': 17556.35, 'l': 17543.95, 'c': 17548.95, 'v': 0, 'tf': '14:13'}}}]}

1675327663079 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675327663650 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -51.35, 'chp': -0.29, 'lp': 17564.95, 'spread': 0.0, 'ask': 17564.95, 'bid': 17564.95, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675327620, 'o': 17553.6, 'h': 17569.9, 'l': 17552.25, 'c': 17564.95, 'v': 0, 'tf': '14:17'}}}]}

1675327668335 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675327668899 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -51.45, 'chp': -0.29, 'lp': 17564.85, 'spread': 0.0, 'ask': 17564.85, 'bid': 17564.85, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675327620, 'o': 17553.6, 'h': 17569.9, 'l': 17552.25, 'c': 17564.85, 'v': 0, 'tf': '14:17'}}}]}

1675329271908 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329272750 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -15.65, 'chp': -0.09, 'lp': 17600.65, 'spread': 0.0, 'ask': 17600.65, 'bid': 17600.65, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.1, 'l': 17598.45, 'c': 17600.65, 'v': 0, 'tf': '14:44'}}}]}

1675329273905 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329274136 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -11.9, 'chp': -0.07, 'lp': 17604.4, 'spread': 0.0, 'ask': 17604.4, 'bid': 17604.4, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.1, 'l': 17598.45, 'c': 17604.4, 'v': 0, 'tf': '14:44'}}}]}

1675329275903 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329276119 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -11.25, 'chp': -0.06, 'lp': 17605.05, 'spread': 0.0, 'ask': 17605.05, 'bid': 17605.05, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.1, 'l': 17598.45, 'c': 17605.05, 'v': 0, 'tf': '14:44'}}}]}

1675329277901 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329278140 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -11.8, 'chp': -0.07, 'lp': 17604.5, 'spread': 0.0, 'ask': 17604.5, 'bid': 17604.5, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.1, 'l': 17598.45, 'c': 17604.5, 'v': 0, 'tf': '14:44'}}}]}

1675329279914 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329280154 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -12.0, 'chp': -0.07, 'lp': 17604.3, 'spread': 0.0, 'ask': 17604.3, 'bid': 17604.3, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17604.3, 'v': 0, 'tf': '14:44'}}}]}

1675329281920 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329282158 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -12.35, 'chp': -0.07, 'lp': 17603.95, 'spread': 0.0, 'ask': 17603.95, 'bid': 17603.95, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17603.95, 'v': 0, 'tf': '14:44'}}}]}

1675329283928 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329284225 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -11.95, 'chp': -0.07, 'lp': 17604.35, 'spread': 0.0, 'ask': 17604.35, 'bid': 17604.35, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17604.35, 'v': 0, 'tf': '14:44'}}}]}

1675329285926 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329286232 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -12.35, 'chp': -0.07, 'lp': 17603.95, 'spread': 0.0, 'ask': 17603.95, 'bid': 17603.95, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17603.95, 'v': 0, 'tf': '14:44'}}}]}

1675329287925 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329288153 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -13.65, 'chp': -0.08, 'lp': 17602.65, 'spread': 0.0, 'ask': 17602.65, 'bid': 17602.65, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17602.65, 'v': 0, 'tf': '14:44'}}}]}

1675329289942 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329290199 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -14.05, 'chp': -0.08, 'lp': 17602.25, 'spread': 0.0, 'ask': 17602.25, 'bid': 17602.25, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17602.25, 'v': 0, 'tf': '14:44'}}}]}

1675329291937 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329292201 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -12.45, 'chp': -0.07, 'lp': 17603.85, 'spread': 0.0, 'ask': 17603.85, 'bid': 17603.85, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17603.85, 'v': 0, 'tf': '14:44'}}}]}

1675329293938 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329294196 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -13.7, 'chp': -0.08, 'lp': 17602.6, 'spread': 0.0, 'ask': 17602.6, 'bid': 17602.6, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17602.6, 'v': 0, 'tf': '14:44'}}}]}

1675329295957 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1675329296199 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -13.45, 'chp': -0.08, 'lp': 17602.85, 'spread': 0.0, 'ask': 17602.85, 'bid': 17602.85, 'open_price': 17517.1, 'high_price': 17653.9, 'low_price': 17445.95, 'prev_close_price': 17616.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1675296000, 'cmd': {'t': 1675329240, 'o': 17604.1, 'h': 17605.35, 'l': 17598.45, 'c': 17602.85, 'v': 0, 'tf': '14:44'}}}]}

